,Admin State,Allotment Name,Allotment Number,Authorization Number,Date NEPA Analysis Completed (mm/dd/yyyy)5,Date of Most Recent Land Health Evaluation Report (mm/dd/yyyy)1,Date of most recent Determination of Causal Factor(s) (mm/dd/yyyy)2,Land Health Standard(s) Not Achieved in the Allotment and Significant Causal Factor(s) Identified3,NEPA Identifier6,Office Code,Permit or Lease Status,"Type of NEPA Analysis for Grazing Authorization (EA, EIS, CX, DNA)4",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
58,AZ,JACOB CANYON,05317,201519,03/09/07,1/26/07,None needed,All standards are met,EA-AZ110-2007-0044,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
59,AZ,JOE,05245,201528,02/16/06,6/27/05,None needed,All standards are met,EA-AZ110-2006-0019,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
60,AZ,JOHNSON RUN,05330,201519,03/09/07,7/1/05,7/1/05,Progressing towards meeting desired resource conditions / DPC,EA-AZ110-2007-0044,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
61,AZ,JUNE TANK,05221,201520,03/30/05,4/28/04,,Progressing towards meeting desired resource conditions / DPC,EA-AZ110-2005-012,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
62,AZ,KANAB CREEK,05321,201951,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
63,AZ,KANAB CREEK,05321,201515,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
64,AZ,KANAB GULCH,05224,201544,09/09/09,1/19/07,5/19/12,All standards are met,EA-AZ110-2008-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
65,AZ,LAMB TANK,05257,201532,11/28/06,6/21/06,None needed,All standards are met,EA-AZ110-2007-0004,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
66,AZ,LAMBING-STARVATION,04838,201959,02/01/11,5/10/04,None needed,All standards are met,AZ-A010-2011-0006-CX,LLAZA01000,APPROPRIATION ACT,CX,,,,,,,,,,,,,
67,AZ,LANE,05271,201502,02/16/06,6/27/05,None needed,All standards are met,EA-AZ110-2006-0019,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
68,AZ,LITTLE TANK,04853,201005,08/20/08,11/1/06,None needed,All standards are met,AZ-110-2008-004,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
69,AZ,LITTLE WOLF,04814,201931,09/11/08,11/1/06,8/27/07,All standards are met,EA-AZ-110-2008-012,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
70,AZ,LITTLEFIELD,04843,201749,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
71,AZ,LITTLEFIELD COMM.,04827,201749,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
72,AZ,LOCO POINT,05260,201521,02/08/07,6/24/05,None needed,All standards are met,EA-AZ110-2007-0017,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
73,AZ,LOST SPRING GAP,05316,200054,03/09/07,6/20/06,None needed,All standards are met,EA-AZ110-2005-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
74,AZ,LOWER HURRICANE,04837,201053,10/11/07,1/26/07,None needed,All standards are met,EA-AZ110-2007-0040,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
75,AZ,MAINSTREET,04808,201005,03/06/07,8/4/05,None needed,All standards are met,AZ-110-2007-0019,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
76,AZ,MESQUITE COMMUNITY,04832,201087,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
77,AZ,MOONSHINE,05237,201526,06/07/05,9/30/04,None needed,All standards are met,EA-AZ110-2005-049,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
78,AZ,MOONSHINE,05237,201949,06/07/05,9/30/04,None needed,All standards are met,EA-AZ110-2005-049,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
79,AZ,MORMON WELL,04844,201071,,7/11/11,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
80,AZ,MORMON WELL,04844,201086,,7/11/11,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
81,AZ,MOUNTAIN SHEEP,04824,201957,02/01/11,10/1/02,None needed,All standards are met,AZ-A010-2011-0006-CX,LLAZA01000,APPROPRIATION ACT,CX,,,,,,,,,,,,,
82,AZ,MUGGINS FLAT,05313,201636,10/07/05,6/24/05,None needed,All standards are met,EA-AZ110-2005-071,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
83,AZ,MUSTANG SPRING,04859,201043,,11/17/03,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
84,AZ,NAVAJO WELLS UT,05348,201916,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
85,AZ,PAT'S POND,04862,201019,,6/22/07,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
86,AZ,PIGEON TANK,05322,201545,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
87,AZ,PIPE VALLEY,05242,201522,05/21/04,3/5/02,,Progressing towards meeting desired resource conditions / DPC,EA-AZ010-2004-020,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
88,AZ,POCUM,04871,201069,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
89,AZ,POCUM TANK,04840,201960,01/24/11,9/10/07,None needed,All standards are met,EA-AZ-110-2008-012,LLAZA01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
90,AZ,POINT OF ROCK,05241,201821,02/16/06,6/27/05,None needed,All standards are met,EA-AZ110-2006-0019,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
91,AZ,POINT OF ROCK,05241,201502,02/16/06,6/27/05,None needed,All standards are met,EA-AZ110-2006-0019,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
92,AZ,PRATT TANK,05314,201609,,12/12/08,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
93,AZ,PURGATORY,04831,201931,09/11/08,9/7/04,None needed,All standards are met,EA-AZ-110-2008-012,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
94,AZ,QUAIL CANYON,04856,200097,01/01/99,9/30/04,9/30/04,Progressing towards meeting desired resource conditions / DPC,EA-AZ110-2007-0009,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
95,AZ,RIDER,05305,201622,03/09/07,9/30/04,None needed,All standards are met,EA-AZ110-2005-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
96,AZ,ROCK CANYON,00099,201955,02/01/11,6/20/05,None needed,All standards are met,EA-AZ-110-2006-0009,LLAZA01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
97,AZ,ROCK CANYON TANK,05319,201600,01/01/00,9/20/07,None needed,All standards are met,EA-AZ110-2008-013,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
98,AZ,ROCK POCKETS,05213,201234,09/22/08,10/9/07,None needed,All standards are met,EA-AZ110-2008-011,LLAZA01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
99,AZ,ROCK POCKETS,05213,201547,09/22/08,10/9/07,None needed,All standards are met,EA-AZ110-2008-011,LLAZA01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
100,AZ,ROCK POCKETS,05213,201235,09/22/08,10/9/07,None needed,All standards are met,EA-AZ110-2008-011,LLAZA01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
101,AZ,ROCK RESERVOIR,05345,201916,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
102,AZ,SAGE,05311,201600,01/01/00,8/21/08,None needed,All standards are met,EA-AZ110-2008-013,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
103,AZ,SCOTTIES SEEP,05236,201524,,9/12/08,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
104,AZ,SHINARUMP,05301,201614,03/09/07,9/10/04,None needed,All standards are met,EA-AZ110-2005-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
105,AZ,SHORT CREEK,05270,201509,,9/12/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
106,AZ,SHUTTLEWORTH,05315,201606,,9/11/07,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
107,AZ,STATE LINE,05244,202184,,10/5/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
108,AZ,SUICIDE,05323,201885,,9/25/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,ACTIVE,,,,,,,,,,,,,,
109,AZ,SULLIVAN CANYON,04810,200064,,11/4/10,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
110,AZ,SUNSHINE,04863,201887,,7/1/05,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,,,,,,,,,,,,,,
111,AZ,SUNSHINE TANK,05247,201606,,8/15/05,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
112,AZ,SWAPP TANK,05248,201541,09/11/08,9/19/07,None needed,All standards are met,EA-AZ110-2008-011,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
113,AZ,TEMPLE TRAIL,05216,201525,03/08/05,7/19/04,,Progressing towards meeting desired resource conditions / DPC,EA-AZ-110-2005-0017,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
114,AZ,TEMPLE TRAIL,05216,201502,03/08/05,7/19/04,,Progressing towards meeting desired resource conditions / DPC,EA-AZ110-2005-0017,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
115,AZ,TOQUER TANK,04861,201652,,3/2/10,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
116,AZ,TOQUER TANK,04861,201958,,3/2/10,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
117,AZ,TUCKUP,00097,201965,,6/23/04,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
118,AZ,VALLEY WASH,05234,201523,05/21/04,3/5/02,,Progressing towards meeting desired resource conditions / DPC,EA-AZ010-2004-020,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
119,AZ,WELLS,05208,201952,,10/5/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
120,AZ,WHITE POCKETS,05243,201530,06/10/02,10/12/01,None needed,All standards are met,EA-AZ010-2002-0026,LLAZA01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
121,AZ,WHITE POCKETS,05243,200910,06/10/02,10/12/01,None needed,All standards are met,EA-AZ010-2002-0026,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
122,AZ,WHITE SAGE,05349,201545,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
123,AZ,WHITEROCK-SOAPSTONE,04804,201013,,10/5/09,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
124,AZ,WHITEROCK-SOAPSTONE,04804,201959,,10/5/09,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
125,AZ,WILDBAND,05223,201515,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
126,AZ,WILDBAND,05223,201956,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
127,AZ,WOLFHOLE - CANYON SP,04811,201007,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
128,AZ,WOLFHOLE MOUNTAIN,04839,201959,,9/7/04,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
129,AZ,YELLOWSTONE,05263,201512,,9/12/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
130,AZ,YELLOWSTONE,05263,200111,,9/12/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
131,AZ,YELLOWSTONE,05263,201509,,9/12/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
132,AZ,BADGER CREEK,05341,200145,,5/8/02,None needed,All standards are met,,LLAZA02000,APPROPRIATION ACT,None,,,,,,,,,,,,,
133,AZ,BUNTING WELL,04847,200030,,8/29/08,None needed,All standards are met,,LLAZA02000,APPROPRIATION ACT,,,,,,,,,,,,,,
134,AZ,FERRY SWALE,05336,201618,,8/29/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA02000,APPROPRIATION ACT,,,,,,,,,,,,,,
135,AZ,SAND HILLS,05328,200145,,None,,,,LLAZA02000,APPROPRIATION ACT,None,,,,,,,,,,,,,
136,AZ,SIGNATURE ROCK,05350,201646,01/03/10,7/31/07,None needed,All standards are met,EA-AZ110-2008-016,LLAZA02000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
137,AZ,SOAP CREEK,05332,200145,05/09/02,5/8/02,,Progressing towards meeting desired resource conditions / DPC,EA-AZ010-2000-0005,LLAZA02000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
138,AZ,WAHWEAP,05340,201608,None,8/29/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA02000,APPROPRIATION ACT,None,,,,,,,,,,,,,
139,AZ,BELNAP,04849,200084,08/11/05,9/30/02,None needed,All standards are met,EA-AZ100-2005-0015,LLAZA03000,ACTIVE,EA,,,,,,,,,,,,,
140,AZ,BELNAP WEST,04822,200073,03/22/06,9/17/04,None needed,All standards are met,EA-AZ130-2006-0025,LLAZA03000,ACTIVE,EA,,,,,,,,,,,,,
141,AZ,BIG SPRING PIPELINE,04870,201008,10/30/06,5/22/06,,Progressing towards meeting upland sites / erosion and desired resource conditions / DPC,EA-AZ-130-2006-0024,LLAZA03000,ACTIVE,EA,,,,,,,,,,,,,
142,AZ,BLAKE POND,04813,201022,,None,,,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
143,AZ,COTTONWOOD,04809,201006,,1/4/10,,Progressing towards meeting desired resource conditions / DPC,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
144,AZ,DRIPPING SPRING,04818,201058,12/06/04,3/11/02,None needed,All standards are met,EA-AZ-010-2004-0039,LLAZA03000,ACTIVE,EA,,,,,,,,,,,,,
145,AZ,DRIPPING SPRING,04818,201808,12/06/04,3/11/02,None needed,All standards are met,EA-AZ-010-2004-0039,LLAZA03000,ACTIVE,EA,,,,,,,,,,,,,
146,AZ,DUNCAN TANK,04820,202093,03/06/07,10/30/06,None needed,All standards are met,EA-AZ-130-2005-0020,LLAZA03000,ACTIVE,EA,,,,,,,,,,,,,
147,AZ,HIDDEN HILLS,04825,201023,,11/4/10,None needed,All standards are met,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
148,AZ,HIDDEN SPRING,04803,201038,,11/4/10,,Progressing towards meeting desired resource conditions / DPC,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
149,AZ,IMLAY,04817,201074,03/09/07,8/15/05,,Progressing towards meeting desired resource conditions / DPC,EA-AZ130-2006-0001,LLAZA03000,ACTIVE,EA,,,,,,,,,,,,,
150,AZ,JUMP CANYON,04801,201052,,9/28/07,,Progressing towards meeting upland sites / erosion and desired resource conditions / DPC,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
151,AZ,JUMP CANYON,04801,200103,,9/28/07,,Progressing towards meeting upland sites / erosion and desired resource conditions / DPC,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
152,AZ,JUMP CANYON,04801,201001,,9/28/07,,Progressing towards meeting upland sites / erosion and desired resource conditions / DPC,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
153,AZ,LAST CHANCE,04815,201966,,1/4/10,,Progressing towards meeting desired resource conditions / DPC,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
154,AZ,LIME SPRING,02012,201890,,None,,,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
155,AZ,LINK SPRING,04819,201581,08/13/07,1/4/07,,Progressing towards meeting upland sites / erosion and desired resource conditions / DPC,EA-AZ-130-2007-0027,LLAZA03000,ACTIVE,EA,,,,,,,,,,,,,
156,AZ,LIZARD,04857,201022,,12/28/11,None needed,All standards are met,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
157,AZ,MOSBY,04835,201890,,11/17/11,None needed,All standards are met,,LLAZA03000,APPROPRIATION ACT,None,,,,,,,,,,,,,
